file,variables,constraints,sparsity,time
mzzv42z,11717,10460,0.001234180990148321,0.7125968933105469
n2seq36q,22480,2565,0.003178775328990725,1.158083438873291
n3div36,22120,4484,0.0034353610909918005,1.8834776878356934
n5-3,2550,1062,0.0036556995679627785,0.14981770515441895
neos-1122047,5100,57791,0.0005552123083145113,1.0671625137329102
neos-1171448,4914,13206,0.0020319046897874704,0.566835880279541
neos-1171737,2340,4179,0.005994563783508507,0.3843703269958496
neos-1354092,13702,3135,0.004357668364459536,1.4585559368133545
neos-1445765,20617,2147,0.0009088506396485379,0.4154927730560303
neos-1456979,4605,6770,0.001168853455479161,0.23318099975585938
neos-1582420,10100,10180,0.00024133906514423544,0.32582902908325195
neos-2075418-temuka,122304,349602,0.0001779856471444028,31.77653479576111
neos-2657525-crna,524,342,0.009430382572206597,0.05167388916015625
neos-2746589-doon,50936,31530,0.00016878577899613308,2.012678384780884
neos-2978193-inde,20800,396,0.005050505050505051,0.45728611946105957
neos-2987310-joes,27837,29015,0.0007184570828613936,2.8182530403137207
neos-3004026-krka,17030,12545,0.0001959358523057451,0.4276292324066162
neos-3024952-loue,3255,3705,0.00143535016200551,0.13440465927124023
neos-3046615-murg,274,498,0.009277987863864216,0.032875776290893555
neos-3083819-nubu,8644,4725,0.0005887926665344527,0.2163839340209961
neos-3216931-puriri,3555,5989,0.004306582696500077,0.4519166946411133
neos-3381206-awhea,2375,479,0.0037578288100208767,0.20667338371276855
neos-3402294-bobin,2904,591076,0.0011854973104380195,11.228180885314941
neos-3402454-bohle,2904,2897380,0.001064156052298945,52.71563458442688
neos-3555904-turama,37461,146493,0.00014461327316332202,4.0905680656433105
neos-3627168-kasai,1462,1655,0.0021317485049243473,0.07539653778076172
neos-3656078-kumeu,14870,17656,0.0002258358118952078,0.4741072654724121
neos-3754480-nidda,253,402,0.014630405285823845,0.04099082946777344
neos-3988577-wolgan,25870,44662,0.00030322676028478784,1.6433804035186768
neos-4300652-rahue,33003,76992,7.226225359648278e-05,1.3774797916412354
neos-4338804-snowy,1344,1701,0.002774103468547913,0.14835858345031738
neos-4387871-tavua,4004,4554,0.0012885665059578103,0.15848541259765625
neos-4413714-turia,190402,2303,0.0017372024762307534,4.981825828552246
neos-4532248-waihi,86842,167322,3.615403541902703e-05,3.856694459915161
neos-4647030-tutaki,12600,8382,0.03743270727522696,15.812995910644531
neos-4722843-widden,77723,113555,3.529739573039719e-05,3.2193429470062256
neos-4738912-atrato,6216,1947,0.0016129655960164435,0.1755080223083496
neos-4763324-toguru,53593,106954,4.6546696544615014e-05,2.231478691101074
neos-4954672-berkel,1533,1848,0.0028263484721410357,0.09553265571594238
neos-5049753-cuanza,242736,322248,1.8417924737214246e-05,10.077946186065674
neos-5052403-cygnet,32868,38268,0.0038943653401484726,17.24336576461792
neos-5093327-huahum,40640,51840,0.00037249684067269367,3.503807544708252
neos-5104907-jarama,345856,489818,1.2122014622878748e-05,15.434147596359253
neos-5107597-kakapo,3114,6498,0.0009583503090620443,0.17913818359375
neos-5114902-kasavu,710164,961170,6.212201120287336e-06,31.559081077575684
neos-5188808-nattai,14544,29452,0.00031209533081516766,0.8266699314117432
neos-5195221-niemur,14546,42256,0.0002872925089050168,1.0785179138183594
neos-631710,167056,169576,2.9445980430220737e-05,6.338466167449951
neos-662469,18235,1085,0.010111460843392523,0.9895133972167969
neos-787933,236376,1897,0.0006652910182554678,5.562361001968384
neos-827175,32504,14187,0.00024025541473119994,0.873542070388794
neos-848589,550539,1484,0.0013477088948787063,10.829123258590698
neos-860300,1385,850,0.32646336801868764,1.4593524932861328
neos-873061,175288,93360,2.1422450728363323e-05,4.175980091094971
neos-911970,888,107,0.03586764334427886,0.05830645561218262
neos-933966,31762,12047,0.0004720350823326686,1.2100086212158203
neos-950242,5760,34224,0.0005283816425120773,0.7044839859008789
neos-957323,57756,3757,0.0023026758389533804,3.9641671180725098
neos-960392,59376,4744,0.0006727604807820331,1.432138442993164
neos17,535,486,0.018964655205569017,0.10259628295898438
neos5,63,63,0.5079365079365079,0.03752779960632324
neos8,23228,46324,0.00029105572720720463,1.6371243000030518
neos859080,160,164,0.04878048780487805,0.05036306381225586
net12,14115,14021,0.00040617177568498725,0.5487501621246338
netdiversion,129180,119589,3.982792636229775e-05,4.78770637512207
nexp-150-20-8-5,20115,4620,0.000456950456950457,0.675607442855835
ns1116954,12648,131991,0.0002459425829308863,2.6716067790985107
ns1208400,2883,4289,0.006610979680291127,0.3844585418701172
ns1644855,30200,40698,0.0017172980496950728,8.860442161560059
ns1760995,17956,615388,0.0001677853046256898,10.900307655334473
ns1830653,1629,2932,0.021132366377819484,0.4474492073059082
ns1952667,13264,41,0.6171904880990909,1.4548060894012451
nu25-pr12,5868,2313,0.0013049740198769822,0.29367971420288086
nursesched-medium-hint03,34248,14062,0.001293201785226443,3.743256092071533
nursesched-sprint02,10250,3522,0.00565089126189388,1.1608150005340576
nw04,87482,36,0.20215777721893266,3.4850223064422607
opm2-z10-s4,6250,160633,0.00036977706946891365,2.4833450317382812
p200x1188c,2376,1388,0.001440922190201729,0.10847234725952148
peg-solitaire-a3,4552,4587,0.0013595290886638828,0.23536109924316406
pg,2700,125,0.015407407407407406,0.3439674377441406
pg5_34,2600,225,0.013162393162393163,0.0935516357421875
physiciansched3-3,79555,266227,5.0164995376111277e-05,6.326281547546387
physiciansched6-2,111827,168336,2.551243051030763e-05,4.464140176773071
piperout-08,10399,14589,0.0002963463212304346,0.4330253601074219
piperout-27,11659,18442,0.0002542237952039855,0.5139021873474121
pk1,86,45,0.2364341085271318,0.04181551933288574
proteindesign121hz512p9,159145,301,0.013140172113669297,4.551361322402954
proteindesign122trx11p8,127326,254,0.015566310596359942,3.45613956451416
qap10,4150,1820,0.0024096385542168677,0.8697354793548584
radiationm18-12-05,40623,40935,5.781998626552071e-05,2.6537928581237793
radiationm40-10-02,172013,173603,1.3623513831232308e-05,4.745582818984985
rail01,117527,46843,7.121951041360702e-05,2.995274782180786
rail02,270869,95791,2.9145314227964727e-05,6.617700815200806
rail507,63019,509,0.014617414631337523,2.776989221572876
ran14x18-disj-8,504,447,0.04561716558360854,0.08455228805541992
rd-rplusc-21,622,125899,0.01088485439088634,3.8494837284088135
reblock115,1150,4735,0.002520361783205546,1.2341175079345703
rmatr100-p10,7359,7260,0.00040947966864284544,0.23891425132751465
rmatr200-p5,37816,37617,7.946998608822527e-05,1.124882698059082
rocI-4-11,6839,10883,0.0003679084761192762,0.2745048999786377
rocII-5-11,11523,26897,0.0009785659908491976,1.7263636589050293
rococoB10-011000,4456,1667,0.002223567853754204,0.1586470603942871
rococoC10-001000,3117,1293,0.0029156775917113472,0.12108039855957031
roi2alpha3n4,6816,1251,0.10306449675939998,4.030214071273804
roi5alpha10n8,106150,4665,0.004786496489477014,12.500741243362427
roll3000,1166,2295,0.01098143850641076,0.21319341659545898
s100,364417,14733,0.0003311476406696293,14.851620435714722
s250r10,273142,10962,0.00044038964031066155,10.894994974136353
satellites2-40,35378,20916,0.000383352620158967,1.6519677639007568
satellites2-60-fs,35378,16516,0.0002140122329123979,2.2995288372039795
savsched1,328575,295989,1.820486908367059e-05,12.613191843032837
sct2,5885,2151,0.0018677369242418316,0.17401647567749023
seymour,1372,4944,0.004945919074980894,0.18439936637878418
seymour1,1372,4944,0.004945919074980894,0.1887648105621338
sing326,55156,50781,9.574608799399561e-05,2.0419814586639404
sing44,59708,54745,8.604605983234155e-05,2.8438899517059326
snp-02-004-104,228350,126512,1.6059425937094595e-05,5.15169095993042
sorrell3,1024,169162,0.001953125,2.6501076221466064
sp150x300d,600,450,0.0044444444444444444,0.04837322235107422
sp97ar,14101,1761,0.01171752693042217,1.365814208984375
sp98ar,15085,1435,0.019686261013374846,1.9467425346374512
splice1k1,3253,6505,0.08322080983367094,6.69449257850647
square41,62234,40160,0.005428052388575339,57.16711640357971
square47,95030,61591,0.004669381504596538,115.08384847640991
supportcase10,14770,165684,0.00022682769429817516,3.2325782775878906
supportcase12,799616,166781,1.7504677300416256e-05,20.17409634590149
supportcase18,13410,240,0.008985831469052945,0.27571654319763184
supportcase19,1429098,10713,0.0002800205406128055,40.22651243209839
supportcase22,7129,260602,0.0011996931963143456,10.557783603668213
supportcase26,436,870,0.0065696509543393435,0.08334779739379883
supportcase33,20203,20489,0.0005119470823240357,5.4906511306762695
supportcase40,16440,38192,0.0001663065958450936,0.8678133487701416
supportcase42,19466,18439,0.001213742685436275,2.3885207176208496
supportcase6,130052,771,0.0058340028250896585,4.308827877044678
supportcase7,138844,6532,0.0031375609059799752,13.115604400634766
swath1,6805,884,0.005812368467423142,0.2379751205444336
swath3,6805,884,0.005812368467423142,0.2306065559387207
tbfp-network,72747,2436,0.0012179613972649163,2.5082666873931885
thor50dday,106261,53360,3.739977913848432e-05,2.756027936935425
timtab1,397,171,0.012211469058877251,0.030760526657104492
tr12-30,1080,750,0.0030962962962962966,0.0746915340423584
traininstance2,12890,15603,0.00020649586642818536,0.41219663619995117
traininstance6,10218,12309,0.00026066727865635013,0.3227245807647705
trento1,7687,1265,0.009622631710742072,0.5372490882873535
triptim1,30055,15706,0.00109192402747855,2.6778883934020996
uccase12,62529,121161,5.536467567687676e-05,3.8690884113311768
uccase9,33242,49565,0.00020169215026151377,2.3652992248535156
uct-subprob,2256,1973,0.002279667353240376,0.12505125999450684
unitcal_7,25755,48939,0.0001012318121265143,1.078428030014038
var-smallemery-m6j6,5608,13416,0.011305897550734662,3.8951947689056396
wachplan,3361,1553,0.01712016917664518,0.37874388694763184
