file,upload_gui_time,stats_time,scatter_plot_time,magnitude_plot_time,row_scaled_heatmap_time,total_time
neos-860300.mps,0.3450918197631836,0.0007412433624267578,0.34110355377197266,3.144111156463623,0.26045846939086914,4.460713624954224
neos-873061.mps,0.7857015132904053,0.0013179779052734375,0.3276839256286621,3.0287742614746094,,5.3792150020599365
neos-911970.mps,0.04354047775268555,0.0005190372467041016,0.0049593448638916016,0.19815850257873535,0.01595139503479004,1.2934706211090088
neos-933966.mps,0.2857348918914795,0.0003476142883300781,0.15440726280212402,3.0606369972229004,,3.817692756652832
neos-950242.mps,0.19336342811584473,0.00047969818115234375,0.08897948265075684,2.9834301471710205,,3.3846001625061035
neos-957323.mps,0.562058687210083,0.0007014274597167969,0.43671202659606934,3.300813913345337,,5.047557353973389
neos-960392.mps,0.3481886386871338,0.0005688667297363281,0.2105269432067871,3.2652711868286133,,4.637858867645264
neos17.mps,0.05098390579223633,0.0002288818359375,0.0068514347076416016,0.28554773330688477,0.024994373321533203,0.37657666206359863
neos5.mps,0.02788853645324707,0.0003666877746582031,0.004519939422607422,0.16264605522155762,0.019018173217773438,0.21870923042297363
neos8.mps,0.44025254249572754,0.0010814666748046875,0.3466970920562744,3.2507691383361816,,4.518712520599365
neos859080.mps,0.012161731719970703,0.001622915267944336,0.004621744155883789,0.1164865493774414,0.011873722076416016,0.15159821510314941
net12.mps,0.13700556755065918,0.0004382133483886719,0.06951069831848145,3.0485360622406006,,3.398090362548828
